image_path,image_name,label,folder
/Users/mashrafirahman/Documents/E2E_OCR_Project/Data/Dataset/Note/70057287-7287.jpg,70057287-7287.jpg,Note,Note
/Users/mashrafirahman/Documents/E2E_OCR_Project/Data/Dataset/Note/50076168.jpg,50076168.jpg,Note,Note
/Users/mashrafirahman/Documents/E2E_OCR_Project/Data/Dataset/Note/2074071502a.jpg,2074071502a.jpg,Note,Note
/Users/mashrafirahman/Documents/E2E_OCR_Project/Data/Dataset/Note/2044183733.jpg,2044183733.jpg,Note,Note
/Users/mashrafirahman/Documents/E2E_OCR_Project/Data/Dataset/Note/60019614.jpg,60019614.jpg,Note,Note
/Users/mashrafirahman/Documents/E2E_OCR_Project/Data/Dataset/Note/2029130917.jpg,2029130917.jpg,Note,Note
/Users/mashrafirahman/Documents/E2E_OCR_Project/Data/Dataset/Note/2021596245.jpg,2021596245.jpg,Note,Note
/Users/mashrafirahman/Documents/E2E_OCR_Project/Data/Dataset/Note/2029042370.jpg,2029042370.jpg,Note,Note
/Users/mashrafirahman/Documents/E2E_OCR_Project/Data/Dataset/Note/2021333139.jpg,2021333139.jpg,Note,Note
/Users/mashrafirahman/Documents/E2E_OCR_Project/Data/Dataset/Note/2028837643.jpg,2028837643.jpg,Note,Note
/Users/mashrafirahman/Documents/E2E_OCR_Project/Data/Dataset/Note/2001004940.jpg,2001004940.jpg,Note,Note
/Users/mashrafirahman/Documents/E2E_OCR_Project/Data/Dataset/Note/2073414412.jpg,2073414412.jpg,Note,Note
/Users/mashrafirahman/Documents/E2E_OCR_Project/Data/Dataset/Note/2026205216.jpg,2026205216.jpg,Note,Note
/Users/mashrafirahman/Documents/E2E_OCR_Project/Data/Dataset/Note/2023104578.jpg,2023104578.jpg,Note,Note
/Users/mashrafirahman/Documents/E2E_OCR_Project/Data/Dataset/Note/2030545825.jpg,2030545825.jpg,Note,Note
/Users/mashrafirahman/Documents/E2E_OCR_Project/Data/Dataset/Note/2028589254.jpg,2028589254.jpg,Note,Note
/Users/mashrafirahman/Documents/E2E_OCR_Project/Data/Dataset/Note/93443778.jpg,93443778.jpg,Note,Note
/Users/mashrafirahman/Documents/E2E_OCR_Project/Data/Dataset/Note/89556237.jpg,89556237.jpg,Note,Note
/Users/mashrafirahman/Documents/E2E_OCR_Project/Data/Dataset/Note/2072654561.jpg,2072654561.jpg,Note,Note
/Users/mashrafirahman/Documents/E2E_OCR_Project/Data/Dataset/Note/2078067768.jpg,2078067768.jpg,Note,Note
/Users/mashrafirahman/Documents/E2E_OCR_Project/Data/Dataset/Note/2043916652.jpg,2043916652.jpg,Note,Note
/Users/mashrafirahman/Documents/E2E_OCR_Project/Data/Dataset/Note/91771720.jpg,91771720.jpg,Note,Note
/Users/mashrafirahman/Documents/E2E_OCR_Project/Data/Dataset/Note/71194840.jpg,71194840.jpg,Note,Note
/Users/mashrafirahman/Documents/E2E_OCR_Project/Data/Dataset/Note/2023785616.jpg,2023785616.jpg,Note,Note
/Users/mashrafirahman/Documents/E2E_OCR_Project/Data/Dataset/Note/2056172318.jpg,2056172318.jpg,Note,Note
